id,username,password_hash,role,tenant_id,created_at
1,admin@acmecorp,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,admin,1,2025-05-11 06:30:34.928715
2,user1@acmecorp,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,1,2025-05-11 06:30:34.928715
3,user2@acmecorp,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,1,2025-05-11 06:30:34.928715
4,admin@techinnovate,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,admin,2,2025-05-11 06:30:34.928715
5,user1@techinnovate,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,2,2025-05-11 06:30:34.928715
6,user2@techinnovate,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,2,2025-05-11 06:30:34.928715
7,admin@globaltrade,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,admin,3,2025-05-11 06:30:34.928715
8,user1@globaltrade,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,3,2025-05-11 06:30:34.928715
9,user2@globaltrade,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,3,2025-05-11 06:30:34.928715
10,admin@healthsolutions,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,admin,4,2025-05-11 06:30:34.928715
11,user1@healthsolutions,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,4,2025-05-11 06:30:34.928715
12,user2@healthsolutions,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,4,2025-05-11 06:30:34.928715
13,admin@eduplatform,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,admin,5,2025-05-11 06:30:34.928715
14,user1@eduplatform,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,5,2025-05-11 06:30:34.928715
15,user2@eduplatform,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,5,2025-05-11 06:30:34.928715
16,admin@retailchain,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,admin,6,2025-05-11 06:30:34.928715
17,user1@retailchain,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,6,2025-05-11 06:30:34.928715
18,user2@retailchain,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,6,2025-05-11 06:30:34.928715
19,admin@finsecure,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,admin,7,2025-05-11 06:30:34.928715
20,user1@finsecure,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,7,2025-05-11 06:30:34.928715
21,user2@finsecure,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,7,2025-05-11 06:30:34.928715
22,admin@logifreight,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,admin,8,2025-05-11 06:30:34.928715
23,user1@logifreight,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,8,2025-05-11 06:30:34.928715
24,user2@logifreight,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,8,2025-05-11 06:30:34.928715
25,admin@mediastream,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,admin,9,2025-05-11 06:30:34.928715
26,user1@mediastream,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,9,2025-05-11 06:30:34.928715
27,user2@mediastream,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,9,2025-05-11 06:30:34.928715
28,admin@energyworks,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,admin,10,2025-05-11 06:30:34.928715
29,user1@energyworks,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,10,2025-05-11 06:30:34.928715
30,user2@energyworks,$2b$12$DRe/aIoS4dLMETqWCCuCDuP7X0rcJdnMpjeb1wVQobCzOZnHlps6i,user,10,2025-05-11 06:30:34.928715
